tag_code_or_release_id,tag_type,species,run,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,stock_location_code,release_stage,rearing_type,study_type,release_strategy,avg_weight,avg_length,study_integrity,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,counting_method,tag_loss_rate,tag_loss_days,tag_loss_sample_size,tag_reused,comments,release_location_name,hatchery_location_name,stock_location_name,record_origin,tagged_adclipped,tagged_unclipped,untagged_adclipped,untagged_unclipped,untagged_unknown
"182891","12","1","1","2013","20150422","20150422","2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","B","MX","17.75","116","N","5000","43742",,,"5000","571","0000","289","W","0.0129","209","853",,,"R-Nicola R","H-Spius Creek H","S-Nicola R","N","43742","0","571","289","0"
"!03NOCN9685",,"1","1","1996","199706","19970617","2FS  TOMMR1387","2FS  TOMMH0160","2FS  TOMMS1387","F","H","B",,"2.2","61","N",,,,,"0000","43165",,,"W",,,,,,"R-Coldwater R","H-Spius Creek H","S-Coldwater R","N","0","0","0","43165","0"
"181526","0","1","1","1994","19960501","19960502","2FS  TOMMR1387","2FS  TOMMH0160","2FS  TOMMS1387","Y","H","P",,"16.2","111","N","5000","21241",,,"5000","657",,,,"0.03","1","500",,"YEARLING RELEASE","R-Coldwater R","H-Spius Creek H","S-Coldwater R","N","21241","0","657","0","0"
"182588","12","1","1","2015","20170420","20170420","2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","FR",,,"N","5000","9740",,,"5000","1012",,,"B","0.0941",,,,,"R-Nicola R","H-Spius Creek H","S-Nicola R","N","9740","0","1012","0","0"
"183596","12","1","1","2014","20160419","20160421","2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","FR","14.96",,"N","5000","55906",,,"0000","2589","5000","565","B","0.01","190","300",,,"R-Nicola R","H-Spius Creek H","S-Nicola R","N","55906","0","565","2589","0"
"!03NOCN93103",,"1","1","1993","199505","19950501","2FS  TOMMR1387","2FS  TOMMH0160","2FS  TOMMS1387","Y","H","B",,"18.8","213","N",,,,,"0000","49668",,,"W",,,,,"YEARLING RELEASE","R-Coldwater R","H-Spius Creek H","S-Coldwater R","N","0","0","0","49668","0"
"024533","0","1","1","1986","198704","19870402","2FS  TOMMR0252","2FS  TOMMH0160","2FS  TOMMS0252","F","H","B",,"2.9",,"N","5000","25443",,,"5000","257",,,,"0.01","1",,,"TIME OF RELEASE: EARLY; COMBINE WITH 024531-32","R-Bonaparte R","H-Spius Creek H","S-Bonaparte R","N","25443","0","257","0","0"
"!03NOCN9109",,"1","1","1991","199206","19920611","2FS  TOMMR1387","2FS  TOMMH0160","2FS  TOMMS1387","S","H","P",,"3","63","N",,,,,"0000","29450",,,"W",,,,,"SURPLUS FISH","R-Coldwater R","H-Spius Creek H","S-Coldwater R","N","0","0","0","29450","0"
"181366","12","1","1","2011","20130423","20130423","2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","FR","18.33","116","N","5000","43727",,,"5000","1101",,,"B","0.0246","195","855",,,"R-Nicola R","H-Spius Creek H","S-Nicola R","N","43727","0","1101","0","0"
"180352","0","1","1","1991","19920508","19920511","2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","S","H","P",,"6.5","86","N","5000","75198",,,"0000","114836","5000","530","W","0.007","30","2000",,"TIME OF RELEASE: EARLY. COMPARE TO 180353","R-Nicola R","H-Spius Creek H","S-Nicola R","N","75198","0","530","114836","0"
"!03NOCN02119",,"1","1","2002","20030527","20030527","2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","F","H","B",,"1.23","47","N",,,,,"0000","26827",,,"B",,,,,"RELEASED AT DOT TRESTLE.","R-Nicola R","H-Spius Creek H","S-Nicola R","N","0","0","0","26827","0"
"!03NOCN02120",,"1","1","2002","20030618","20030618","2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","F","H","B",,"2.95","62","N",,,,,"0000","20315",,,"B",,,,,"TRANSFERRED TO SPAHOMIN CR ACCLIMATION POND MAY 27TH; REL TO UPPER NICOLA.","R-Nicola R","H-Spius Creek H","S-Nicola R","N","0","0","0","20315","0"
"185728","12","1","1","2005","20070424","20070425","2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P",,"15.82","112","N","5000","33436",,,"0000","285","5000","222","B","0.0066","30","303",,"NICOLA DAM,MERRIT GOLF, SHULUS RR BED, GAVLINS BR, NICOLA&RIVER RANCH, NORGARD","R-Nicola R","H-Spius Creek H","S-Nicola R","N","33436","0","222","285","0"
"182862","0","1","1","1996","19980428","19980430","2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P",,"14.3","108","N","5000","49648",,,"0000","64063","5000","1013","W","0.02","1","500",,"YEARLING RELEASE. FED LO RATION-SEE 182863-HIGH RATION","R-Nicola R","H-Spius Creek H","S-Nicola R","N","49648","0","1013","64063","0"
"180965","12","1","1","2008","20100414","20100414","2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P",,"17.47","114","N","5000","53511",,,"5000","367",,,"W","0.0663","30","422",,,"R-Nicola R","H-Spius Creek H","S-Nicola R","N","53511","0","367","0","0"
"180966","12","1","1","2008","20100414","20100414","2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P",,"17.07","113","N","5000","49256",,,"5000","3468",,,"W","0.0068","30","443",,,"R-Nicola R","H-Spius Creek H","S-Nicola R","N","49256","0","3468","0","0"
