"","tag_code_or_release_id","tag_type","species","run","brood_year","first_release_date","last_release_date","release_location_code","hatchery_location_code","stock_location_code","release_stage","rearing_type","study_type","release_strategy","avg_weight","avg_length","study_integrity","cwt_1st_mark","cwt_1st_mark_count","cwt_2nd_mark","cwt_2nd_mark_count","non_cwt_1st_mark","non_cwt_1st_mark_count","non_cwt_2nd_mark","non_cwt_2nd_mark_count","counting_method","tag_loss_rate","tag_loss_days","tag_loss_sample_size","tag_reused","comments","release_location_name","hatchery_location_name","stock_location_name","record_origin","tagged_adclipped","tagged_unclipped","untagged_adclipped","untagged_unclipped","untagged_unknown"
"113","!03NOCN9732",NA,1,1,1997,1998-05-01,1998-05-01,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","S","H","P","",4.2,69,"N",NA,NA,NA,NA,0,43490,NA,NA,"W",NA,NA,NA,NA,"REL'D TO SPAHOMIN GROWOUT POND","R-Nicola R","H-Spius Creek H","S-Nicola R","N",0,0,0,43490,0
"114","180183",12,1,1,2007,2009-04-23,2009-04-23,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",17.82,114,"N",5000,49226,NA,NA,5000,2051,0,222,"B",0.04,30,300,NA,"ALSO SEE TAGCODES 180184 & 180189","R-Nicola R","H-Spius Creek H","S-Nicola R","N",49226,0,2051,222,0
"115","180184",12,1,1,2007,2009-04-24,2009-04-27,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",17.82,116,"N",5000,53692,NA,NA,5000,984,0,242,"B",0.018,30,300,NA,"ALSO SEE TAGCODES 180183 & 180189","R-Nicola R","H-Spius Creek H","S-Nicola R","N",53692,0,984,242,0
"116","024859",0,1,1,1988,1989-04-01,1989-04-17,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","S","H","B","",5,77,"N",5000,25735,NA,NA,5000,104,NA,NA,"",0.004,1,NA,NA,"IMPRINT","R-Nicola R","H-Spius Creek H","S-Nicola R","N",25735,0,104,0,0
"118","182217",0,1,1,1999,2001-04-26,2001-04-27,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",14.76,108,"N",5000,25014,NA,NA,0,14478,5000,253,"W",0.01,30,300,NA,"EXTENDED REARING. SEE ALSO 182216/18.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",25014,0,253,14478,0
"119","025150",0,1,1,1987,1988-04-05,1988-05-02,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","S","H","P","",5.4,67,"N",5000,26943,NA,NA,0,80132,5000,751,"W",0.0271,1,NA,NA,"TIME OF RELEASE-NORMAL SPRING","R-Nicola R","H-Spius Creek H","S-Nicola R","N",26943,0,751,80132,0
"121","181755",0,1,1,1993,1995-05-03,1995-05-15,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","B","",25.2,125,"N",5000,25125,NA,NA,5000,126,NA,NA,"",0.005,1,100,NA,"REL'D SPAHOMIN SMOLT POND- AFS","R-Nicola R","H-Spius Creek H","S-Nicola R","N",25125,0,126,0,0
"122","182731",0,1,1,1995,1997-05-01,1997-05-07,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",14.4,105,"N",5000,49898,NA,NA,0,62177,5000,760,"B",0.015,1,500,NA,"FED LO RATION. SEE 182732-HI RATION","R-Nicola R","H-Spius Creek H","S-Nicola R","N",49898,0,760,62177,0
"123","024057",0,1,1,1985,1987-04-16,1987-04-21,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","B","",15.2,NA,"N",5000,29005,NA,NA,0,8413,5000,2180,"",0.0699,210,NA,NA,"TIME OF RELEASE: YEARLING; COMBINE WITH 023535","R-Nicola R","H-Spius Creek H","S-Nicola R","N",29005,0,2180,8413,0
"125","025432",0,1,1,1987,1989-03-10,1989-03-31,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","B","",18,112,"N",5000,26953,NA,NA,0,12937,5000,135,"W",0.005,1,NA,NA,"TIME OF RELEASE: YEARLING","R-Nicola R","H-Spius Creek H","S-Nicola R","N",26953,0,135,12937,0
